airport_name,latitude,longitude,altitude,type,picture1,picture2,picture3,picture4,runway1,runway2,runway3,frequencie1,frequencie2,frequencie3,navaid1,navaid2,navaid3,navaid4,a/c_type1,a/c_quantity1,a/c_type2,a/c_quantity2,a/c_type3,a/c_quantity3,a/c_type4,a/c_quantity4
Resafa,35.36848207,38.6175708,357.9520874,5,,,,,,,,,,,,,,,,,,,,,,
El Karak,32.70967935,36.34774111,658.4715576,5,,,,,,,,,,,,,,,,,,,,,,
Kuweires,36.18937443,37.57043931,366.0003662,1,,,,,,,,,,,,,,,,,,,,,,
Marqueh,35.03573965,35.9081823,12.65873051,5,,,,,,,,,,,,,,,,,,,,,,
Kiryat Shmona,33.21237218,35.59241999,100.0000916,1,,,,,,,,,,,,,,,,,,,,,,
Al Btar,34.87884965,36.31595692,850.6761475,5,,,,,,,,,,,,,,,,,,,,,,
Incirlik,36.99425401,35.41271334,47.56959915,1,,,,,,,,,,,,,,,,,,,,,,
Damascus,33.41534001,36.50425483,612.0006104,1,,,,,,,,,,,,,,,,,,,,,,
Tell-Salhab,35.23896951,36.355097,194.7818604,5,,,,,,,,,,,,,,,,,,,,,,
Bassel Al-Assad,35.41062477,35.9480262,28.45734406,1,,,,,,,,,,,,,,,,,,,,,,
Aleppo,36.18221152,37.21038323,382.19104,1,,,,,,,,,,,,,,,,,,,,,,
Al Qusayr,34.5668773,36.58541478,527.0005493,1,,,,,,,,,,,,,,,,,,,,,,
Wujah Al Hajar,34.28696051,35.68399031,188.6738739,1,,,,,,,,,,,,,,,,,,,,,,
Abu al-Duhur,35.73146243,37.11880173,250.0002441,1,,,,,,,,,,,,,,,,,,,,,,
Hatay,36.37126997,36.29809018,77.17556763,1,,,,,,,,,,,,,,,,,,,,,,
Labweh,34.17314935,36.30993211,969.484375,5,,,,,,,,,,,,,,,,,,,,,,
Al Furqlus,34.56247199,37.57728784,585.6704712,5,,,,,,,,,,,,,,,,,,,,,,
Sadad,34.33468771,36.87371635,873.7128296,5,,,,,,,,,,,,,,,,,,,,,,
Jirah,36.09448712,37.95108611,356.7168579,1,,,,,,,,,,,,,,,,,,,,,,
Rayak,33.84290183,35.97693182,894.3814697,1,,,,,,,,,,,,,,,,,,,,,,
Reyhanli,36.222182,36.67206157,473.1420288,5,,,,,,,,,,,,,,,,,,,,,,
Hatzor HaGlilit,32.98158522,35.56642287,274.4063416,1,,,,,,,,,,,,,,,,,,,,,,
Kafr Shams,33.12919758,36.10655314,734.515625,1,,,,,,,,,,,,,,,,,,,,,,
Beirut-Rafic Hariri,33.83743048,35.48735285,12.0000124,1,,,,,,,,,,,,,,,,,,,,,,
Al Qaryatayn,34.22525554,37.23145704,752.8816528,5,,,,,,,,,,,,,,,,,,,,,,
Kafr Nabi,35.61215999,36.54970635,639.854187,1,,,,,,,,,,,,,,,,,,,,,,
Ardicli,36.69779986,36.53535418,254.8386993,5,,,,,,,,,,,,,,,,,,,,,,
Gozluce,35.95322071,36.05217355,490.3781128,5,,,,,,,,,,,,,,,,,,,,,,
King Hussein Air College,32.34879395,36.27021349,672.0006714,1,,,,,,,,,,,,,,,,,,,,,,
Al Faisaliyah,35.72337796,37.8867316,343.2452087,5,,,,,,,,,,,,,,,,,,,,,,
Hawa Idlib,35.38456513,37.02535359,375.9727478,5,,,,,,,,,,,,,,,,,,,,,,
Ithriyah,35.46415339,38.12310099,410.5828247,5,,,,,,,,,,,,,,,,,,,,,,
Minakh,36.52281222,37.03362237,492.0004578,1,,,,,,,,,,,,,,,,,,,,,,
Adana Sakirpasa,36.98828113,35.29137231,17.00001717,1,,,,,,,,,,,,,,,,,,,,,,
Qaraoun,33.56719265,35.71092607,869.4367676,5,,,,,,,,,,,,,,,,,,,,,,
Taftanaz,35.97322359,36.7858941,311.0003052,5,,,,,,,,,,,,,,,,,,,,,,
Ramat David,32.66605513,35.16545593,32.23926926,1,,,,,,,,,,,,,,,,,,,,,,
Rene Mouawad,34.58395331,35.99868726,4.410843372,1,,,,,,,,,,,,,,,,,,,,,,
Tabqa,35.75561377,38.55125095,330.3158875,1,,,,,,,,,,,,,,,,,,,,,,
Palmyra,34.55823554,38.33112306,386.2240295,1,,,,,,,,,,,,,,,,,,,,,,
An Nasiriyah,33.92656597,36.87534453,837.1625366,1,,,,,,,,,,,,,,,,,,,,,,
Acidic,35.04895969,38.30842461,674.4020386,5,,,,,,,,,,,,,,,,,,,,,,
